,x,y,z,labels
332,-16.32653,32.13803,-48.301174,-1
333,18.752205,29.094936,26.110968,97
334,15.491469,56.20398,38.444473,-1
335,-24.284887,20.634886,48.878975,11
336,10.183541,-61.37937,-43.32978,-1
337,34.174988,52.406826,-25.671677,141
338,-53.6217,17.96064,-53.838543,6
339,-14.905652,-50.875275,-31.736834,66
340,17.945173,51.67307,-41.103664,25
341,-7.052779,58.99706,-50.22711,-1
342,24.51411,-13.6154995,-71.460785,38
343,-10.102069,-31.243294,2.17955,51
344,38.326454,2.1509762,64.9884,98
345,-17.395262,-27.328547,-42.71558,22
346,24.240242,31.372852,-80.06403,15
347,10.358706,27.943245,-14.804448,116
348,-74.49332,-5.767923,46.62931,4
349,-3.6269798,89.097595,-7.4252563,-1
350,-15.092813,59.301334,-25.789202,31
351,33.76993,-9.905353,-77.20686,38
352,-42.654522,11.510503,16.513016,-1
353,-46.627907,-10.238842,-84.381,124
354,6.0184464,63.665524,-55.545765,52
355,78.17434,-1.7206116,-35.453773,70
356,-8.017192,1.973363,-26.703348,-1
357,-9.758153,-45.70528,-80.8267,83
358,77.602135,19.338732,-4.0883193,45
359,56.92999,-51.390312,-12.856341,29
360,40.240376,-83.83794,0.9427781,46
361,57.75474,-35.134796,72.61754,99
362,-40.657684,46.641922,-20.374939,19
363,-7.704751,1.7301388,90.63936,100
364,-12.241914,-51.534798,-80.87612,83
365,21.820345,-28.53829,-62.42977,-1
366,100.696236,-19.889185,0.35305032,120
367,-12.161567,-48.28016,-9.075011,17
368,-61.4925,-66.189,-21.134495,2
369,54.13242,1.1540699,65.86478,40
370,-30.574032,-17.499928,47.438423,63
371,6.113393,95.85749,-4.2137585,62
372,94.90264,-8.61777,17.843298,120
373,-65.24212,55.915985,-13.738471,19
374,43.523262,4.4905424,54.18898,-1
375,-3.2191157,-21.473663,0.9899625,51
376,28.802397,15.418042,-36.13137,95
377,-13.929951,-89.70749,11.135922,-1
378,80.60959,-15.335566,11.762525,120
379,65.43677,-4.7545595,-43.421116,-1
380,41.575653,5.5436044,66.915054,98
381,51.32854,25.946363,43.584984,20
382,-38.684177,-33.180676,-11.702201,101
383,-1.3801612,66.75524,47.34108,-1
384,-17.85263,-68.92734,12.206793,102
385,-8.2088785,-78.31833,-16.278334,44
386,81.41868,10.343405,19.707357,39
387,23.352934,77.60805,-41.322464,28
388,11.369115,-19.5714,36.433582,91
389,22.400564,6.1747055,-2.1929862,103
390,-9.147675,88.298386,18.370691,9
391,-25.065838,49.69999,-26.330912,104
392,-7.5031953,-0.53597385,-70.85015,34
393,-20.673935,-61.31354,53.189106,53
394,49.24662,3.9974434,-31.326696,154
395,51.59791,26.007528,15.660335,1
396,-20.673935,-61.31354,53.189106,53
397,-52.55465,19.146423,-47.483494,6
398,-69.48927,-3.5389557,49.22517,4
399,51.798267,-39.897503,9.896231,-1
400,-15.676169,26.397839,-48.590282,-1
401,-61.035362,-30.327747,-30.837845,36
402,41.0122,37.014576,24.663363,41
403,-51.398132,37.363876,46.499077,105
404,28.836767,45.76591,-49.626026,25
405,4.947367,-9.138922,67.90557,106
406,68.160355,-13.009214,44.789288,61
407,-85.96711,-0.5115429,8.150981,3
408,53.92249,-32.027496,25.431608,80
409,-9.738839,65.35761,-23.752888,31
410,76.67666,-6.038804,18.148941,-1
411,-2.5213642,-51.225014,-37.821472,66
412,-30.616932,-38.535698,-1.2184848,17
413,28.968561,-10.705076,-70.49316,38
414,57.191048,-20.515175,-50.12958,90
415,-29.865704,-6.019684,2.060499,107
416,-36.196293,83.03316,8.66313,9
417,32.377342,9.028977,43.2507,152
418,-53.431637,11.684737,-48.967667,6
419,-9.849607,-26.317272,56.82146,-1
420,45.28659,37.6352,23.062593,41
421,25.116114,-20.413103,-42.393272,79
422,-50.86165,28.511505,10.84066,7
423,-18.619776,-17.600708,10.257996,51
424,-10.613266,91.2447,11.720187,9
425,-20.402544,-13.774296,55.137238,63
426,-70.597916,-31.807611,-36.876995,36
427,-56.97443,4.2393465,-30.743677,6
428,3.654688,-91.06163,39.20565,108
429,-12.279097,-93.79364,-13.575782,44
430,-33.1663,35.55974,-60.688328,18
431,16.481169,29.417768,-35.040936,-1
432,-34.16686,-19.105186,-59.15316,22
433,-60.7966,54.17749,-9.678145,19
434,39.70394,-1.7949091,24.974537,-1
435,61.63302,19.782412,-9.160646,-1
436,-7.4635005,-52.72116,-26.97592,66
437,-53.431637,11.684737,-48.967667,6
438,50.217705,58.320194,-41.62309,23
439,24.156088,-32.376534,25.15028,87
440,42.251366,-26.21145,-13.520464,69
441,43.461018,53.40943,32.852043,75
442,-68.407104,-59.777813,17.356304,109
443,65.17353,21.283834,-47.91203,16
444,-58.74894,-24.722061,18.3881,64
445,-12.438076,-89.39401,-19.319513,44
446,45.33541,42.21847,23.276474,41
447,-66.987625,25.622845,-42.1385,6
448,21.720968,13.920016,-75.14605,-1
449,-23.754614,67.63095,72.98615,0
450,-32.40502,24.513971,77.54835,86
451,-15.698971,-21.325657,-44.831406,22
452,-92.975914,-22.500704,11.687825,3
453,3.6962376,39.046318,-38.3674,50
454,1.6971264,-92.833275,34.42388,108
455,-97.499084,-23.44973,7.5233564,3
456,63.608135,-10.621495,46.053734,61
457,-8.961545,-56.843716,-84.129295,83
458,20.97403,68.747025,-17.230719,110
459,-8.961545,-56.843716,-84.129295,83
460,1.4042567,-83.0005,32.411766,108
461,-59.770397,-66.84798,-14.849113,2
462,-29.249098,0.89895487,2.9954515,107
463,-58.106052,-24.152996,11.839651,64
464,34.737984,-27.371983,0.6712977,-1
465,-3.5540242,-12.171667,-72.94878,34
466,-56.844852,49.797577,-18.1992,19
467,24.133402,72.0347,9.210186,85
468,-56.844852,49.797577,-18.1992,19
469,-54.20309,-67.2818,25.006975,109
470,45.379498,7.6073546,-76.26693,76
471,6.7014375,36.04063,45.589672,32
472,28.529902,-0.94659376,5.890728,103
473,-27.091528,-66.37662,-0.18690252,111
474,-40.466904,-18.377813,54.071575,63
475,41.76344,40.356888,59.6865,-1
476,-85.55338,-22.511713,2.9481995,3
477,42.677692,65.0237,11.36893,-1
478,-12.279097,-93.79364,-13.575782,44
479,82.327255,23.450089,-21.808435,45
480,-21.607801,-19.87286,54.895733,63
481,-65.95394,-54.00577,21.792665,109
482,-92.975914,-22.500704,11.687825,3
483,54.502724,24.537828,-22.587158,30
484,30.38682,-33.29598,-42.58499,79
485,92.96406,-31.381004,2.5188909,120
486,74.25875,46.27684,25.594894,72
487,-19.21789,79.65559,2.1561773,9
488,-15.842479,25.731146,81.21899,86
489,-33.847256,88.738556,9.439394,9
490,-5.4849243,-58.537502,-25.90082,66
491,3.2783203,-49.282627,-66.69865,83
492,-0.4179511,-57.093872,-35.28242,66
493,19.354877,36.505684,-80.71033,15
494,-16.720903,-22.936337,-27.348904,-1
495,-59.27638,51.208965,-24.214985,19
496,8.244234,29.931198,28.388988,97
497,-34.458252,2.1842015,-12.015437,107
498,-17.347036,87.281334,-41.036724,112
499,-12.40191,-0.51730096,5.1181517,-1
500,26.93627,6.5488477,50.817036,-1
501,69.72419,12.495432,-44.904736,16
502,-65.157,-1.4534446,-42.04336,6
503,-42.807728,50.13347,43.09884,105
504,21.764046,2.2027717,-25.596989,113
505,-26.111687,-22.84232,59.313343,63
506,-7.4681087,34.122223,-38.208218,50
507,-37.1296,-3.4696512,-78.363266,-1
508,88.11908,11.990159,-10.896758,45
509,-55.658257,63.123104,-4.6658387,19
510,-45.64574,63.159317,-4.614166,19
511,57.396214,42.07335,-5.342036,-1
512,-36.075397,78.734184,14.755337,9
